,Country name,Research Output (RO) ,Local co-authorship,Without local co-authorship,African co-authorship,Local corresponding authorship,Helicopter research index (HRI),% Local co-authorship,% African co-authorship,% Local corresponding authorship,Class,Inhabitants per groundwater research,Population 2020 (million),Area (km2),Water Stress Index,GDP (Millions USD),Research as a % of GDP
1,Algeria,322,273,49,300.0 ,222.0 ,0.2 ,85,93,69,A2,136183 ,43851.043,2381741,137.92 ,163.81 ,0.03 
2,Angola,17,1,16,8.0 ,0.0 ,0.9 ,6,47,0,B2,1933310 ,32866.268,1246700,1.87 ,70.34 ,0.21 
3,Benin,63,34,29,51.0 ,13.0 ,0.5 ,54,81,21,B1,183429 ,11555.997,112760,0.98 ,18.07 ,0.61 
4,Botswana,145,70,75,98.0 ,40.0 ,0.5 ,48,68,28,A3,83608 ,12123.198,566730,2.02 ,17.61 ,0.61 
5,Burkina Faso,53,35,18,39.0 ,15.0 ,0.3 ,66,74,28,B1,44370 ,2351.625,273600,7.81 ,19.93 ,0.54 
6,Burundi,9,7,2,8.0 ,1.0 ,0.2 ,78,89,11,C3,2322586 ,20903.278,25680,10.19 ,3.19 ,-
7,Cameroon,119,88,31,94.0 ,56.0 ,0.3 ,74,79,47,A3,99923 ,11890.781,475442,1.56 ,40.81 ,-
8,Cape Verde OR Cabo Verde,12,11,1,11.0 ,0.0 ,0.1 ,92,92,0,B2,46825 ,561.898,4033,8.43 ,1.89 ,0.07 
9,Central African Republic,4,0,4,1.0 ,0.0 ,1.0 ,0,25,0,C3,1229995 ,4919.981,622984,0.34 ,2.59 ,0.41 
10,Chad,41,6,35,7.0 ,0.0 ,0.9 ,15,17,0,B2,412561 ,16914.985,1284000,4.29 ,12.35 ,-
11,Comoros,2,1,1,1.0 ,0.0 ,0.5 ,50,50,0,C3,444226 ,888.451,1862,0.83 ,1.28 ,-
13,Congo,34,7,27,17.0 ,1.0 ,0.8 ,21,50,3,B2,2634159 ,89561.404,341500,0.03 ,12.74 ,-
12,Democratic Republic of the Congo OR Zaire,6,2,4,3.0 ,1.0 ,0.7 ,33,50,17,C3,851784 ,5110.701,2344858,0.23 ,54.83 ,0.07 
14,Djibouti,18,11,7,13.0 ,6.0 ,0.4 ,61,72,33,B2,55677 ,1002.187,23200,6.33 ,0.21 ,0.54 
15,Egypt,685,563,122,572.0 ,352.0 ,0.2 ,82,84,51,A1,152202 ,104258.327,1002450,116.94 ,365.35 ,0.72 
16,Equatorial Guinea,1,0,1,0.0 ,0.0 ,1.0 ,0,0,0,C3,1449896 ,1449.896,28051,0.18 ,2.49 ,-
17,Eritrea,14,5,9,8.0 ,2.0 ,0.6 ,36,57,14,B2,257248 ,3601.467,117600,11.18 ,0.17 ,0.27 
18,Ethiopia,293,227,66,243.0 ,140.0 ,0.2 ,77,83,48,A2,4001 ,1172.362,17364,32.26 ,107.65 ,0.58 
